GKZ,Gebietsname,Wahlberechtigte,Abgegebene,Ungültige,Gültige,ÖVP,%,SPÖ,%.1,FPÖ,%.2,GRÜNE,%.3,NEOS,%.4,BIER,%.5,MFG,%.6,BGE,%.7,LMP,%.8,GAZA,%.9,KPÖ,%.10,KEINE,%.11
G00000,Österreich,6346059,4929745,46857,4882888,1282734,26.26,1032233,21.13,1408512,28.84,402109,8.23,446379,9.14,98395,2.01,19785.0,0.4,156.0,0.0,28488,0.58,19376.0,0.39,116891,2.39,27830,0.56
G10000,Burgenland,233738,192899,2800,190099,54287,28.55,51374,27.02,54718,28.78,8926,4.69,12300,6.47,3817,2.0,,0.0,156.0,0.08,858,0.45,344.0,0.18,2425,1.27,894,0.47
G10099,Wahlkarten - Burgenland,0,41,41,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0
G1A000,Burgenland Nord,124968,103415,1389,102026,28008,27.45,27565,27.01,28837,28.26,5280,5.17,7434,7.28,2212,2.16,,0.0,40.0,0.03,479,0.46,292.0,0.28,1366,1.33,513,0.5
G1A099,Wahlkarten - Burgenland Nord,0,303,2,301,49,16.27,71,23.58,66,21.92,49,16.27,46,15.28,6,1.99,,0.0,0.0,0.0,0,0.0,1.0,0.33,9,2.99,4,1.32
G1B000,Burgenland Süd,108770,89443,1370,88073,26279,29.83,23809,27.03,25881,29.38,3646,4.13,4866,5.52,1605,1.82,,0.0,116.0,0.13,379,0.43,52.0,0.05,1059,1.2,381,0.43
G1B099,Wahlkarten - Burgenland Süd,0,293,3,290,44,15.17,72,24.82,74,25.51,47,16.2,28,9.65,8,2.75,,0.0,0.0,0.0,5,1.72,1.0,0.34,11,3.79,0,0.0
G10100,Eisenstadt Stadt,11216,8903,82,8821,2885,32.7,1916,21.72,2001,22.68,742,8.41,784,8.88,214,2.42,,0.0,6.0,0.06,54,0.61,25.0,0.28,155,1.75,39,0.44
G10101,Eisenstadt,11216,8722,82,8640,2842,32.89,1864,21.57,1980,22.91,724,8.37,755,8.73,208,2.4,,0.0,5.0,0.05,53,0.61,22.0,0.25,149,1.72,38,0.43
G10199,Wahlkarten - Eisenstadt Stadt,0,181,0,181,43,23.75,52,28.72,21,11.6,18,9.94,29,16.02,6,3.31,,0.0,1.0,0.55,1,0.55,3.0,1.65,6,3.31,1,0.55
G10200,Rust Stadt,1588,1300,30,1270,326,25.66,343,27.0,377,29.68,68,5.35,95,7.48,26,2.04,,0.0,1.0,0.07,12,0.94,0.0,0.0,17,1.33,5,0.39
G10201,Rust,1588,1284,30,1254,325,25.91,339,27.03,370,29.5,68,5.42,91,7.25,26,2.07,,0.0,1.0,0.07,12,0.95,0.0,0.0,17,1.35,5,0.39
G10299,Wahlkarten - Rust Stadt,0,16,0,16,1,6.25,4,25.0,7,43.75,0,0.0,4,25.0,0,0.0,,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0
G10300,Eisenstadt - Umgebung,34854,29282,411,28871,7871,27.26,8304,28.76,7789,26.97,1431,4.95,2081,7.2,630,2.18,,0.0,8.0,0.02,140,0.48,91.0,0.31,374,1.29,152,0.52
G10301,Breitenbrunn am Neusiedler See,1571,1357,22,1335,354,26.51,345,25.84,329,24.64,94,7.04,135,10.11,42,3.14,,0.0,0.0,0.0,14,1.04,0.0,0.0,17,1.27,5,0.37
G10302,Donnerskirchen,1525,1255,21,1234,396,32.09,276,22.36,377,30.55,71,5.75,70,5.67,22,1.78,,0.0,0.0,0.0,2,0.16,1.0,0.08,15,1.21,4,0.32
G10303,Großhöflein,1659,1416,27,1389,426,30.66,410,29.51,330,23.75,44,3.16,128,9.21,26,1.87,,0.0,0.0,0.0,4,0.28,1.0,0.07,13,0.93,7,0.5
G10304,Hornstein,2469,1903,23,1880,476,25.31,536,28.51,521,27.71,86,4.57,154,8.19,43,2.28,,0.0,1.0,0.05,15,0.79,4.0,0.21,31,1.64,13,0.69
G10305,Klingenbach,853,704,17,687,171,24.89,275,40.02,171,24.89,21,3.05,24,3.49,8,1.16,,0.0,0.0,0.0,2,0.29,1.0,0.14,11,1.6,3,0.43
G10306,Leithaprodersdorf,1012,886,8,878,405,46.12,149,16.97,187,21.29,40,4.55,66,7.51,21,2.39,,0.0,0.0,0.0,0,0.0,0.0,0.0,7,0.79,3,0.34
G10307,Mörbisch am See,1811,1470,26,1444,366,25.34,479,33.17,402,27.83,63,4.36,80,5.54,32,2.21,,0.0,0.0,0.0,6,0.41,0.0,0.0,10,0.69,6,0.41
G10308,Müllendorf,1188,968,12,956,264,27.61,256,26.77,256,26.77,44,4.6,82,8.57,14,1.46,,0.0,0.0,0.0,7,0.73,2.0,0.2,22,2.3,9,0.94
G10309,Neufeld an der Leitha,2725,2197,23,2174,405,18.62,683,31.41,675,31.04,109,5.01,157,7.22,60,2.75,,0.0,2.0,0.09,12,0.55,24.0,1.1,33,1.51,14,0.64
G10310,Oggau am Neusiedler See,1429,1277,34,1243,389,31.29,378,30.41,320,25.74,48,3.86,62,4.98,18,1.44,,0.0,0.0,0.0,6,0.48,2.0,0.16,12,0.96,8,0.64
G10311,Oslip,1065,933,10,923,277,30.01,291,31.52,217,23.51,65,7.04,34,3.68,15,1.62,,0.0,1.0,0.1,3,0.32,2.0,0.21,12,1.3,6,0.65
G10312,Purbach am Neusiedler See,2421,1935,26,1909,557,29.17,453,23.72,581,30.43,112,5.86,147,7.7,30,1.57,,0.0,0.0,0.0,7,0.36,2.0,0.1,14,0.73,6,0.31
G10313,Sankt Margarethen im Burgenland,2295,1899,22,1877,650,34.62,394,20.99,517,27.54,110,5.86,130,6.92,38,2.02,,0.0,0.0,0.0,6,0.31,0.0,0.0,25,1.33,7,0.37
G10314,Schützen am Gebirge,1123,957,20,937,330,35.21,206,21.98,249,26.57,43,4.58,62,6.61,26,2.77,,0.0,0.0,0.0,5,0.53,1.0,0.1,12,1.28,3,0.32
G10315,Siegendorf,2335,1878,30,1848,284,15.36,775,41.93,486,26.29,78,4.22,121,6.54,49,2.65,,0.0,0.0,0.0,9,0.48,4.0,0.21,29,1.56,13,0.7
G10316,Steinbrunn,2279,1850,19,1831,425,23.21,551,30.09,539,29.43,81,4.42,133,7.26,38,2.07,,0.0,1.0,0.05,7,0.38,23.0,1.25,25,1.36,8,0.43
G10317,Trausdorf an der Wulka,1711,1421,29,1392,363,26.07,464,33.33,322,23.13,74,5.31,106,7.61,40,2.87,,0.0,0.0,0.0,8,0.57,0.0,0.0,12,0.86,3,0.21
G10318,Wimpassing an der Leitha,1249,1011,6,1005,242,24.07,226,22.48,357,35.52,33,3.28,85,8.45,21,2.08,,0.0,0.0,0.0,7,0.69,12.0,1.19,15,1.49,7,0.69
G10319,Wulkaprodersdorf,1438,1160,9,1151,355,30.84,335,29.1,212,18.41,81,7.03,103,8.94,31,2.69,,0.0,0.0,0.0,5,0.43,9.0,0.78,12,1.04,8,0.69
G10320,Loretto,432,360,4,356,101,28.37,79,22.19,110,30.89,16,4.49,33,9.26,4,1.12,,0.0,0.0,0.0,6,1.68,2.0,0.56,0,0.0,5,1.4
G10321,Stotzing,625,520,4,516,169,32.75,118,22.86,163,31.58,16,3.1,34,6.58,12,2.32,,0.0,0.0,0.0,1,0.19,0.0,0.0,2,0.38,1,0.19
G10322,Zillingtal,785,669,6,663,140,21.11,202,30.46,190,28.65,43,6.48,52,7.84,12,1.8,,0.0,1.0,0.15,1,0.15,0.0,0.0,15,2.26,7,1.05
G10323,Zagersdorf,854,712,8,704,201,28.55,266,37.78,163,23.15,22,3.12,31,4.4,11,1.56,,0.0,2.0,0.28,2,0.28,0.0,0.0,6,0.85,0,0.0
G10399,Wahlkarten - Eisenstadt - Umgebung,0,544,5,539,125,23.19,157,29.12,115,21.33,37,6.86,52,9.64,17,3.15,,0.0,0.0,0.0,5,0.92,1.0,0.18,24,4.45,6,1.11
G10400,Güssing,20929,17438,267,17171,5610,32.67,4704,27.39,4751,27.66,626,3.64,836,4.86,270,1.57,,0.0,8.0,0.04,81,0.47,4.0,0.02,214,1.24,67,0.39
G10401,Bocksdorf,680,574,11,563,122,21.66,203,36.05,161,28.59,18,3.19,35,6.21,15,2.66,,0.0,0.0,0.0,0,0.0,1.0,0.17,6,1.06,2,0.35
G10402,Burgauberg-Neudauberg,1106,893,18,875,275,31.42,166,18.97,305,34.85,36,4.11,58,6.62,12,1.37,,0.0,0.0,0.0,3,0.34,0.0,0.0,15,1.71,5,0.57
G10403,Eberau,723,599,9,590,271,45.93,116,19.66,135,22.88,26,4.4,25,4.23,5,0.84,,0.0,0.0,0.0,4,0.67,0.0,0.0,6,1.01,2,0.33
G10404,Gerersdorf-Sulz,831,677,8,669,264,39.46,180,26.9,155,23.16,31,4.63,19,2.84,12,1.79,,0.0,0.0,0.0,4,0.59,0.0,0.0,2,0.29,2,0.29
G10405,Güssing,2825,2187,34,2153,785,36.46,562,26.1,555,25.77,71,3.29,111,5.15,33,1.53,,0.0,2.0,0.09,6,0.27,0.0,0.0,21,0.97,7,0.32
G10406,Güttenbach,713,571,16,555,216,38.91,155,27.92,97,17.47,35,6.3,32,5.76,9,1.62,,0.0,0.0,0.0,1,0.18,1.0,0.18,6,1.08,3,0.54
G10407,Heiligenbrunn,614,515,7,508,201,39.56,115,22.63,138,27.16,15,2.95,24,4.72,3,0.59,,0.0,0.0,0.0,4,0.78,0.0,0.0,6,1.18,2,0.39
G10408,Kukmirn,1641,1285,16,1269,400,31.52,266,20.96,418,32.93,51,4.01,73,5.75,22,1.73,,0.0,1.0,0.07,8,0.63,0.0,0.0,23,1.81,7,0.55
G10409,Neuberg im Burgenland,804,690,13,677,238,35.15,195,28.8,175,25.84,17,2.51,26,3.84,14,2.06,,0.0,0.0,0.0,4,0.59,0.0,0.0,3,0.44,5,0.73
G10410,Neustift bei Güssing,373,310,4,306,50,16.33,133,43.46,91,29.73,9,2.94,8,2.61,3,0.98,,0.0,0.0,0.0,2,0.65,0.0,0.0,8,2.61,2,0.65
G10411,Olbendorf,1181,921,11,910,169,18.57,317,34.83,307,33.73,27,2.96,50,5.49,17,1.86,,0.0,1.0,0.1,7,0.76,0.0,0.0,13,1.42,2,0.21
G10412,Ollersdorf im Burgenland,788,677,9,668,215,32.18,184,27.54,177,26.49,36,5.38,29,4.34,8,1.19,,0.0,0.0,0.0,3,0.44,0.0,0.0,13,1.94,3,0.44
G10413,Sankt Michael im Burgenland,833,690,8,682,232,34.01,154,22.58,212,31.08,21,3.07,38,5.57,12,1.75,,0.0,0.0,0.0,4,0.58,0.0,0.0,6,0.87,3,0.43
G10414,Stegersbach,2127,1651,26,1625,467,28.73,492,30.27,444,27.32,67,4.12,95,5.84,22,1.35,,0.0,1.0,0.06,10,0.61,1.0,0.06,23,1.41,3,0.18
G10415,Stinatz,898,793,12,781,201,25.73,374,47.88,105,13.44,37,4.73,32,4.09,11,1.4,,0.0,0.0,0.0,8,1.02,0.0,0.0,7,0.89,6,0.76
G10416,Strem,765,600,10,590,270,45.76,96,16.27,167,28.3,15,2.54,23,3.89,13,2.2,,0.0,0.0,0.0,1,0.16,1.0,0.16,4,0.67,0,0.0
G10417,Tobaj,1093,934,15,919,345,37.54,152,16.53,314,34.16,32,3.48,43,4.67,15,1.63,,0.0,2.0,0.21,2,0.21,0.0,0.0,11,1.19,3,0.32
G10418,Hackerberg,300,260,5,255,79,30.98,65,25.49,90,35.29,6,2.35,6,2.35,4,1.56,,0.0,0.0,0.0,0,0.0,0.0,0.0,4,1.56,1,0.39
G10419,Wörterberg,404,357,4,353,83,23.51,106,30.02,114,32.29,15,4.24,20,5.66,7,1.98,,0.0,0.0,0.0,4,1.13,0.0,0.0,1,0.28,3,0.84
G10420,Großmürbisch,205,180,1,179,74,41.34,43,24.02,39,21.78,6,3.35,11,6.14,2,1.11,,0.0,0.0,0.0,1,0.55,0.0,0.0,3,1.67,0,0.0
G10421,Inzenhof,272,238,2,236,56,23.72,108,45.76,51,21.61,5,2.11,9,3.81,2,0.84,,0.0,0.0,0.0,2,0.84,0.0,0.0,2,0.84,1,0.42
G10422,Kleinmürbisch,208,188,0,188,73,38.82,53,28.19,48,25.53,1,0.53,5,2.65,2,1.06,,0.0,0.0,0.0,0,0.0,0.0,0.0,5,2.65,1,0.53
G10423,Tschanigraben,55,41,0,41,8,19.51,25,60.97,4,9.75,2,4.87,1,2.43,1,2.43,,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0
G10424,Heugraben,193,177,5,172,66,38.37,52,30.23,49,28.48,1,0.58,3,1.74,1,0.58,,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0
G10425,Rohr im Burgenland,325,261,1,260,74,28.46,83,31.92,84,32.3,4,1.53,7,2.69,2,0.76,,0.0,0.0,0.0,1,0.38,0.0,0.0,3,1.15,2,0.76
G10426,Bildein,263,231,6,225,112,49.77,31,13.77,61,27.11,9,4.0,7,3.11,1,0.44,,0.0,0.0,0.0,1,0.44,0.0,0.0,3,1.33,0,0.0
G10427,Rauchwart,399,341,4,337,64,18.99,117,34.71,125,37.09,6,1.78,11,3.26,5,1.48,,0.0,0.0,0.0,0,0.0,0.0,0.0,9,2.67,0,0.0
G10428,Moschendorf,310,267,4,263,114,43.34,63,23.95,60,22.81,8,3.04,12,4.56,2,0.76,,0.0,0.0,0.0,0,0.0,0.0,0.0,4,1.52,0,0.0
G10499,Wahlkarten - Güssing,0,330,8,322,86,26.7,98,30.43,70,21.73,19,5.9,23,7.14,15,4.65,,0.0,1.0,0.31,1,0.31,0.0,0.0,7,2.17,2,0.62
G10500,Jennersdorf,14100,11284,133,11151,3193,28.63,2447,21.94,3879,34.78,490,4.39,625,5.6,223,1.99,,0.0,5.0,0.04,54,0.48,7.0,0.06,157,1.4,71,0.63
G10501,Deutsch Kaltenbrunn,1421,1145,13,1132,262,23.14,289,25.53,400,35.33,49,4.32,71,6.27,30,2.65,,0.0,1.0,0.08,4,0.35,0.0,0.0,17,1.5,9,0.79
G10502,Eltendorf,754,607,6,601,169,28.11,133,22.12,223,37.1,24,3.99,31,5.15,14,2.32,,0.0,0.0,0.0,1,0.16,0.0,0.0,6,0.99,0,0.0
G10503,Heiligenkreuz im Lafnitztal,972,748,6,742,200,26.95,171,23.04,274,36.92,24,3.23,40,5.39,15,2.02,,0.0,0.0,0.0,4,0.53,0.0,0.0,9,1.21,5,0.67
G10504,Jennersdorf,3428,2585,30,2555,722,28.25,411,16.08,1061,41.52,110,4.3,134,5.24,46,1.8,,0.0,1.0,0.03,15,0.58,3.0,0.11,35,1.36,17,0.66
G10505,Minihof-Liebau,855,688,11,677,197,29.09,165,24.37,221,32.64,24,3.54,44,6.49,12,1.77,,0.0,0.0,0.0,3,0.44,0.0,0.0,8,1.18,3,0.44
G10506,Mogersdorf,882,713,8,705,175,24.82,155,21.98,267,37.87,30,4.25,42,5.95,14,1.98,,0.0,0.0,0.0,2,0.28,1.0,0.14,14,1.98,5,0.7
G10507,Neuhaus am Klausenbach,724,542,9,533,176,33.02,119,22.32,164,30.76,23,4.31,27,5.06,8,1.5,,0.0,2.0,0.37,5,0.93,1.0,0.18,7,1.31,1,0.18
G10508,Rudersdorf,1841,1416,12,1404,454,32.33,292,20.79,417,29.7,75,5.34,90,6.41,33,2.35,,0.0,0.0,0.0,5,0.35,2.0,0.14,27,1.92,9,0.64
G10509,Sankt Martin an der Raab,1658,1364,17,1347,445,33.03,287,21.3,423,31.4,73,5.41,62,4.6,25,1.85,,0.0,0.0,0.0,7,0.51,0.0,0.0,16,1.18,9,0.66
G10510,Weichselbaum,586,479,4,475,162,34.1,128,26.94,137,28.84,9,1.89,23,4.84,8,1.68,,0.0,0.0,0.0,1,0.21,0.0,0.0,3,0.63,4,0.84
G10511,Königsdorf,653,505,7,498,129,25.9,150,30.12,161,32.32,18,3.61,23,4.61,6,1.2,,0.0,0.0,0.0,5,1.0,0.0,0.0,5,1.0,1,0.2
G10512,Mühlgraben,326,275,7,268,44,16.41,106,39.55,81,30.22,7,2.61,15,5.59,4,1.49,,0.0,0.0,0.0,1,0.37,0.0,0.0,6,2.23,4,1.49
G10599,Wahlkarten - Jennersdorf,0,217,3,214,58,27.1,41,19.15,50,23.36,24,11.21,23,10.74,8,3.73,,0.0,1.0,0.46,1,0.46,0.0,0.0,4,1.86,4,1.86
G10600,Mattersburg,31813,26415,354,26061,6661,25.55,7601,29.16,7467,28.65,1207,4.63,1872,7.18,531,2.03,,0.0,8.0,0.03,119,0.45,100.0,0.38,345,1.32,150,0.57
G10601,Draßburg,911,735,16,719,117,16.27,318,44.22,200,27.81,21,2.92,41,5.7,8,1.11,,0.0,0.0,0.0,0,0.0,2.0,0.27,7,0.97,5,0.69
G10602,Forchtenstein,2247,1851,19,1832,560,30.56,453,24.72,564,30.78,68,3.71,124,6.76,31,1.69,,0.0,1.0,0.05,6,0.32,2.0,0.1,16,0.87,7,0.38
G10603,Hirm,777,668,11,657,96,14.61,291,44.29,172,26.17,28,4.26,39,5.93,17,2.58,,0.0,0.0,0.0,0,0.0,1.0,0.15,8,1.21,5,0.76
G10604,Loipersbach im Burgenland,964,777,15,762,114,14.96,248,32.54,284,37.27,29,3.8,52,6.82,14,1.83,,0.0,1.0,0.13,4,0.52,0.0,0.0,8,1.04,8,1.04
G10605,Marz,1649,1414,23,1391,408,29.33,375,26.95,384,27.6,66,4.74,112,8.05,24,1.72,,0.0,0.0,0.0,4,0.28,0.0,0.0,13,0.93,5,0.35
G10606,Mattersburg,5750,4504,44,4460,1114,24.97,1258,28.2,1295,29.03,227,5.08,333,7.46,93,2.08,,0.0,0.0,0.0,20,0.44,31.0,0.69,61,1.36,28,0.62
G10607,Neudörfl,3700,2769,33,2736,551,20.13,807,29.49,897,32.78,109,3.98,183,6.68,67,2.44,,0.0,2.0,0.07,13,0.47,52.0,1.9,43,1.57,12,0.43
G10608,Pöttelsdorf,634,541,7,534,176,32.95,115,21.53,139,26.02,36,6.74,40,7.49,12,2.24,,0.0,1.0,0.18,4,0.74,0.0,0.0,9,1.68,2,0.37
G10609,Pöttsching,2470,2050,20,2030,478,23.54,591,29.11,558,27.48,118,5.81,163,8.02,51,2.51,,0.0,0.0,0.0,12,0.59,2.0,0.09,43,2.11,14,0.68
G10610,Rohrbach bei Mattersburg,2037,1700,38,1662,457,27.49,538,32.37,441,26.53,58,3.48,108,6.49,31,1.86,,0.0,0.0,0.0,4,0.24,1.0,0.06,12,0.72,12,0.72
G10611,Bad Sauerbrunn,1772,1457,14,1443,341,23.63,314,21.76,450,31.18,113,7.83,150,10.39,20,1.38,,0.0,1.0,0.06,18,1.24,2.0,0.13,27,1.87,7,0.48
G10612,Schattendorf,1867,1563,29,1534,315,20.53,623,40.61,373,24.31,68,4.43,113,7.36,20,1.3,,0.0,0.0,0.0,1,0.06,2.0,0.13,12,0.78,7,0.45
G10613,Sieggraben,984,842,12,830,291,35.06,206,24.81,269,32.4,13,1.56,28,3.37,11,1.32,,0.0,0.0,0.0,2,0.24,0.0,0.0,6,0.72,4,0.48
G10614,Sigleß,979,837,9,828,177,21.37,312,37.68,182,21.98,46,5.55,55,6.64,29,3.5,,0.0,0.0,0.0,5,0.6,1.0,0.12,13,1.57,8,0.96
G10615,Wiesen,2217,1789,18,1771,568,32.07,300,16.93,598,33.76,74,4.17,144,8.13,40,2.25,,0.0,0.0,0.0,10,0.56,2.0,0.11,25,1.41,10,0.56
G10616,Antau,635,530,7,523,173,33.07,152,29.06,133,25.43,21,4.01,19,3.63,12,2.29,,0.0,0.0,0.0,5,0.95,0.0,0.0,5,0.95,3,0.57
G10617,Baumgarten,712,606,8,598,128,21.4,243,40.63,127,21.23,35,5.85,37,6.18,13,2.17,,0.0,1.0,0.16,1,0.16,1.0,0.16,10,1.67,2,0.33
G10618,Zemendorf-Stöttera,1021,856,14,842,335,39.78,222,26.36,182,21.61,24,2.85,47,5.58,14,1.66,,0.0,0.0,0.0,3,0.35,1.0,0.11,11,1.3,3,0.35
G10619,Krensdorf,487,438,9,429,156,36.36,105,24.47,107,24.94,11,2.56,22,5.12,13,3.03,,0.0,0.0,0.0,4,0.93,0.0,0.0,6,1.39,5,1.16
G10699,Wahlkarten - Mattersburg,0,488,8,480,106,22.08,130,27.08,112,23.33,42,8.75,62,12.91,11,2.29,,0.0,1.0,0.2,3,0.62,0.0,0.0,10,2.08,3,0.62
G10700,Neusiedl am See,45497,37212,510,36702,10216,27.83,9330,25.42,11137,30.34,1783,4.85,2556,6.96,805,2.19,,0.0,17.0,0.04,154,0.41,75.0,0.2,466,1.26,163,0.44
G10701,Andau,1863,1518,16,1502,372,24.76,472,31.42,523,34.82,32,2.13,63,4.19,27,1.79,,0.0,0.0,0.0,4,0.26,0.0,0.0,6,0.39,3,0.19
G10702,Apetlon,1500,1246,28,1218,416,34.15,355,29.14,328,26.92,27,2.21,54,4.43,19,1.55,,0.0,0.0,0.0,3,0.24,1.0,0.08,11,0.9,4,0.32
G10703,Bruckneudorf,2355,1788,22,1766,287,16.25,460,26.04,680,38.5,102,5.77,114,6.45,55,3.11,,0.0,1.0,0.05,11,0.62,3.0,0.16,40,2.26,13,0.73
G10704,Deutsch Jahrndorf,450,376,7,369,104,28.18,118,31.97,105,28.45,8,2.16,27,7.31,3,0.81,,0.0,0.0,0.0,0,0.0,0.0,0.0,2,0.54,2,0.54
G10705,Frauenkirchen,2362,1777,30,1747,413,23.64,490,28.04,592,33.88,68,3.89,108,6.18,39,2.23,,0.0,0.0,0.0,4,0.22,0.0,0.0,27,1.54,6,0.34
G10706,Gattendorf,1001,822,15,807,218,27.01,239,29.61,254,31.47,22,2.72,38,4.7,22,2.72,,0.0,0.0,0.0,2,0.24,1.0,0.12,9,1.11,2,0.24
G10707,Gols,3178,2589,30,2559,577,22.54,697,27.23,779,30.44,166,6.48,211,8.24,66,2.57,,0.0,3.0,0.11,12,0.46,0.0,0.0,29,1.13,19,0.74
G10708,Halbturn,1551,1279,19,1260,474,37.61,258,20.47,343,27.22,46,3.65,77,6.11,30,2.38,,0.0,0.0,0.0,2,0.15,0.0,0.0,22,1.74,8,0.63
G10709,Illmitz,1980,1712,26,1686,573,33.98,599,35.52,345,20.46,51,3.02,86,5.1,16,0.94,,0.0,0.0,0.0,5,0.29,0.0,0.0,9,0.53,2,0.11
G10710,Jois,1296,1013,19,994,299,30.08,224,22.53,305,30.68,36,3.62,71,7.14,29,2.91,,0.0,3.0,0.3,6,0.6,0.0,0.0,17,1.71,4,0.4
G10711,Kittsee,1461,1126,16,1110,377,33.96,241,21.71,354,31.89,22,1.98,61,5.49,25,2.25,,0.0,1.0,0.09,1,0.09,4.0,0.36,18,1.62,6,0.54
G10712,Mönchhof,1810,1455,25,1430,498,34.82,292,20.41,435,30.41,47,3.28,88,6.15,38,2.65,,0.0,0.0,0.0,6,0.41,0.0,0.0,23,1.6,3,0.2
G10713,Neusiedl am See,6321,4963,48,4915,1329,27.03,1025,20.85,1299,26.42,442,8.99,560,11.39,119,2.42,,0.0,0.0,0.0,27,0.54,7.0,0.14,74,1.5,33,0.67
G10714,Nickelsdorf,1230,1007,13,994,248,24.94,297,29.87,290,29.17,51,5.13,62,6.23,23,2.31,,0.0,1.0,0.1,5,0.5,1.0,0.1,13,1.3,3,0.3
G10715,Pama,847,730,6,724,273,37.7,197,27.2,166,22.92,13,1.79,45,6.21,11,1.51,,0.0,4.0,0.55,6,0.82,0.0,0.0,5,0.69,4,0.55
G10716,Pamhagen,1296,1043,13,1030,374,36.31,260,25.24,276,26.79,27,2.62,50,4.85,30,2.91,,0.0,0.0,0.0,0,0.0,0.0,0.0,6,0.58,7,0.67
G10717,Parndorf,3447,2467,25,2442,373,15.27,614,25.14,1051,43.03,84,3.43,142,5.81,50,2.04,,0.0,0.0,0.0,8,0.32,52.0,2.12,52,2.12,16,0.65
G10718,Podersdorf am See,1739,1441,18,1423,575,40.4,243,17.07,343,24.1,89,6.25,136,9.55,16,1.12,,0.0,1.0,0.07,7,0.49,0.0,0.0,10,0.7,3,0.21
G10719,Sankt Andrä am Zicksee,1144,954,12,942,338,35.88,212,22.5,265,28.13,32,3.39,63,6.68,19,2.01,,0.0,0.0,0.0,2,0.21,0.0,0.0,10,1.06,1,0.1
G10720,Tadten,942,818,2,816,315,38.6,236,28.92,181,22.18,28,3.43,40,4.9,9,1.1,,0.0,0.0,0.0,1,0.12,1.0,0.12,3,0.36,2,0.24
G10721,Wallern im Burgenland,1384,1142,32,1110,307,27.65,360,32.43,330,29.72,39,3.51,37,3.33,15,1.35,,0.0,0.0,0.0,7,0.63,2.0,0.18,12,1.08,1,0.09
G10722,Weiden am See,1988,1673,22,1651,483,29.25,341,20.65,480,29.07,133,8.05,144,8.72,41,2.48,,0.0,0.0,0.0,10,0.6,0.0,0.0,17,1.02,2,0.12
G10723,Winden am See,1092,892,11,881,193,21.9,230,26.1,305,34.61,51,5.78,53,6.01,28,3.17,,0.0,0.0,0.0,3,0.34,0.0,0.0,13,1.47,5,0.56
G10724,Zurndorf,1696,1394,25,1369,252,18.4,416,30.38,503,36.74,71,5.18,75,5.47,27,1.97,,0.0,0.0,0.0,5,0.36,0.0,0.0,15,1.09,5,0.36
G10725,Neudorf,625,508,6,502,134,26.69,114,22.7,181,36.05,15,2.98,34,6.77,8,1.59,,0.0,0.0,0.0,5,0.99,2.0,0.39,6,1.19,3,0.59
G10726,Potzneusiedl,469,371,6,365,76,20.82,95,26.02,154,42.19,10,2.73,18,4.93,6,1.64,,0.0,0.0,0.0,3,0.82,0.0,0.0,3,0.82,0,0.0
G10727,Edelstal,470,413,4,409,156,38.14,77,18.82,120,29.33,21,5.13,15,3.66,12,2.93,,0.0,0.0,0.0,3,0.73,0.0,0.0,3,0.73,2,0.48
G10799,Wahlkarten - Neusiedl am See,0,695,14,681,182,26.72,168,24.66,150,22.02,50,7.34,84,12.33,22,3.23,,0.0,3.0,0.44,6,0.88,1.0,0.14,11,1.61,4,0.58
G10800,Oberpullendorf,30497,25506,393,25113,7915,31.51,7418,29.53,6436,25.62,991,3.94,1337,5.32,461,1.83,,0.0,92.0,0.36,106,0.42,17.0,0.06,229,0.91,111,0.44
G10801,Deutschkreutz,2510,2083,29,2054,729,35.49,497,24.19,512,24.92,68,3.31,116,5.64,42,2.04,,0.0,61.0,2.96,4,0.19,1.0,0.04,18,0.87,6,0.29
G10802,Draßmarkt,1113,970,17,953,368,38.61,250,26.23,200,20.98,43,4.51,67,7.03,13,1.36,,0.0,1.0,0.1,4,0.41,0.0,0.0,5,0.52,2,0.2
G10803,Frankenau-Unterpullendorf,894,771,13,758,280,36.93,192,25.32,164,21.63,63,8.31,34,4.48,12,1.58,,0.0,0.0,0.0,4,0.52,0.0,0.0,5,0.65,4,0.52
G10804,Großwarasdorf,1126,920,12,908,371,40.85,198,21.8,212,23.34,42,4.62,42,4.62,14,1.54,,0.0,3.0,0.33,6,0.66,0.0,0.0,16,1.76,4,0.44
G10805,Horitschon,1457,1213,14,1199,422,35.19,310,25.85,322,26.85,40,3.33,66,5.5,14,1.16,,0.0,3.0,0.25,2,0.16,1.0,0.08,11,0.91,8,0.66
G10806,Kaisersdorf,488,409,4,405,85,20.98,137,33.82,125,30.86,13,3.2,29,7.16,4,0.98,,0.0,2.0,0.49,0,0.0,3.0,0.74,2,0.49,5,1.23
G10807,Kobersdorf,1577,1322,19,1303,314,24.09,466,35.76,373,28.62,36,2.76,60,4.6,33,2.53,,0.0,1.0,0.07,3,0.23,0.0,0.0,11,0.84,6,0.46
G10808,Lackenbach,919,715,13,702,220,31.33,210,29.91,180,25.64,21,2.99,31,4.41,19,2.7,,0.0,2.0,0.28,8,1.13,0.0,0.0,7,0.99,4,0.56
