GKZ,Gebietsname,Wahlberechtigte,Abgegebene,Ungültige,Gültige,ÖVP,%,SPÖ,%.1,FPÖ,%.2,GRÜNE,%.3,NEOS,%.4,BIER,%.5,MFG,%.6,BGE,%.7,LMP,%.8,GAZA,%.9,KPÖ,%.10,KEINE,%.11
G31553,Emmersdorf an der Donau,1387,1117,18,1099,327,29.75,199,18.1,307,27.93,84,7.64,102,9.28,22,2.0,13.0,1.18,,0.0,13,1.18,1.0,0.09,23,2.09,8,0.72
G31599,Wahlkarten - Melk,0,1603,11,1592,411,25.81,367,23.05,364,22.86,144,9.04,156,9.79,57,3.58,13.0,0.81,,0.0,11,0.69,5.0,0.31,46,2.88,18,1.13
G31600,Mistelbach,60820,50635,599,50036,17718,35.41,8456,16.89,14536,29.05,3068,6.13,3739,7.47,1113,2.22,157.0,0.31,,0.0,243,0.48,35.0,0.06,678,1.35,293,0.58
G31601,Altlichtenwarth,608,479,10,469,185,39.44,68,14.49,166,35.39,11,2.34,15,3.19,9,1.91,3.0,0.63,,0.0,6,1.27,0.0,0.0,4,0.85,2,0.42
G31603,Asparn an der Zaya,1540,1259,13,1246,461,36.99,204,16.37,420,33.7,42,3.37,66,5.29,18,1.44,3.0,0.24,,0.0,7,0.56,3.0,0.24,17,1.36,5,0.4
G31604,Bernhardsthal,1252,1016,8,1008,326,32.34,212,21.03,346,34.32,30,2.97,61,6.05,10,0.99,1.0,0.09,,0.0,5,0.49,0.0,0.0,8,0.79,9,0.89
G31605,Bockfließ,998,844,11,833,330,39.61,162,19.44,191,22.92,49,5.88,64,7.68,18,2.16,3.0,0.36,,0.0,5,0.6,1.0,0.12,8,0.96,2,0.24
G31606,Drasenhofen,870,713,5,708,312,44.06,65,9.18,251,35.45,14,1.97,45,6.35,13,1.83,1.0,0.14,,0.0,2,0.28,0.0,0.0,3,0.42,2,0.28
G31608,Falkenstein,441,358,3,355,161,45.35,38,10.7,72,20.28,42,11.83,24,6.76,9,2.53,0.0,0.0,,0.0,2,0.56,0.0,0.0,6,1.69,1,0.28
G31609,Fallbach,668,580,7,573,308,53.75,45,7.85,122,21.29,23,4.01,48,8.37,3,0.52,7.0,1.22,,0.0,3,0.52,0.0,0.0,7,1.22,7,1.22
G31611,Gaubitsch,744,663,9,654,336,51.37,56,8.56,166,25.38,25,3.82,50,7.64,11,1.68,0.0,0.0,,0.0,0,0.0,0.0,0.0,6,0.91,4,0.61
G31612,Gaweinstal,3160,2491,23,2468,803,32.53,429,17.38,797,32.29,118,4.78,188,7.61,58,2.35,10.0,0.4,,0.0,6,0.24,3.0,0.12,44,1.78,12,0.48
G31613,Gnadendorf,990,824,14,810,361,44.56,125,15.43,194,23.95,44,5.43,56,6.91,17,2.09,1.0,0.12,,0.0,2,0.24,1.0,0.12,6,0.74,3,0.37
G31614,Großebersdorf,1800,1476,13,1463,541,36.97,195,13.32,475,32.46,70,4.78,114,7.79,31,2.11,3.0,0.2,,0.0,7,0.47,2.0,0.13,16,1.09,9,0.61
G31615,Großengersdorf,1173,1001,8,993,329,33.13,232,23.36,268,26.98,46,4.63,72,7.25,23,2.31,2.0,0.2,,0.0,2,0.2,0.0,0.0,12,1.2,7,0.7
G31616,Großharras,901,735,11,724,300,41.43,98,13.53,228,31.49,31,4.28,41,5.66,16,2.2,3.0,0.41,,0.0,0,0.0,0.0,0.0,4,0.55,3,0.41
G31617,Großkrut,1375,1118,14,1104,396,35.86,185,16.75,387,35.05,37,3.35,52,4.71,22,1.99,5.0,0.45,,0.0,3,0.27,1.0,0.09,11,0.99,5,0.45
